CPD_ID,DO_CHEMISTRY,CHEMISTRY_COMMENT,MW,MW_DES,ALOGP,ALOGP_DES,HBD,HBD_DES,HBA,HBA_DES,PSA,PSA_DES,ROTB,ROTB_DES,AROM,AROM_DES,ALERTS,ALERTS_DES,UNWEIGHTED_QED,QED
1,YES,-,287.41974,0.973,4.746,0.583,1,0.987,2,0.93,57.34,0.996,7,0.533,2,0.938,1,0.64,0.799,0.747
2,YES,-,333.40536,0.946,2.282,0.981,1,0.987,6,0.525,98.64,0.701,6,0.689,2,0.938,2,0.241,0.692,0.643
3,YES,-,296.77581,0.993,2.27,0.98,1,0.987,4,0.887,85.11,0.831,4,0.97,2,0.938,1,0.64,0.895,0.877
4,YES,-,311.37494,0.998,4.105,0.833,1,0.987,4,0.887,47.56,0.992,6,0.689,2,0.938,1,0.64,0.859,0.816
5,YES,-,297.34836,0.994,3.414,0.97,1,0.987,4,0.887,47.56,0.992,5,0.848,2,0.938,1,0.64,0.899,0.859
6,YES,-,397.24042,0.587,3.376,0.974,0,0.592,5,0.726,78.05,0.889,5,0.848,2,0.938,1,0.64,0.76,0.723
7,YES,-,322.3513,0.98,3.049,0.996,0,0.592,4,0.887,68.81,0.951,6,0.689,2,0.938,2,0.241,0.724,0.605
8,YES,-,276.32922,0.933,2.609,0.997,1,0.987,3,0.985,67.29,0.959,5,0.848,2,0.938,1,0.64,0.903,0.853
9,YES,-,339.4314,0.921,2.576,0.996,1,0.987,4,0.887,44.81,0.981,6,0.689,2,0.938,0,0.842,0.899,0.879
10,YES,-,375.41714,0.721,4.609,0.644,1,0.987,4,0.887,56.79,0.997,7,0.533,3,0.257,1,0.64,0.659,0.613
11,YES,-,332.34782,0.95,2.385,0.988,1,0.987,4,0.887,48.47,0.994,4,0.97,2,0.938,0,0.842,0.943,0.934
12,YES,-,287.78392,0.974,4.749,0.582,1,0.987,2,0.93,29.1,0.803,6,0.689,2,0.938,1,0.64,0.803,0.777
13,YES,-,309.3773,0.999,4.374,0.74,2,0.792,2,0.93,32.26,0.856,5,0.848,3,0.257,0,0.842,0.735,0.733
